Número Fiscal de Factura;Código de Empresa Distribuidora;Código de contrato externo - interfaz;Secuencial de factura;Tipo de factura;Estado de la factura;Fecha desde;Fecha hasta;Importe Factura;Fuente de la factura;Tipo de Fuente;Descripción Tipo de fuente;Tipo de Fuente Anterior;Descripción Tipo de fuente Anterior;Tipo de punto de medida;Consumo P1/punta;Consumo P2/llano;Consumo P3/valle;Consumo P4/supervalle;Consumo P5;Consumo P6;Consumo Reactiva1;Consumo Reactiva2;Consumo Reactiva3;Consumo Reactiva4;Consumo Reactiva5;Consumo Reactiva6;Consumo cargo-abono P1/punta;Consumo cargo-abono P2/llano;Consumo cargo-abono P3/valle;Consumo cargo/abono P4;Consumo cargo/abono P5;Consumo cargo/abono P6;Consumo pérdidas P1/punta;Consumo pérdidas P2/llano;Consumo pérdidas P3/valle;Consumo pérdidas P4;Consumo pérdidas P5;Consumo pérdidas P6;Maxímetro P1/Punta;Maxímetro P2/Llano;Maxímetro P3/Valle;Maxímetro P4;Maxímetro P5;Maxímetro P6;Origen
F7901N00634455;40;465621821;0;NORMAL;ORIGINAL;30/12/2018;23/01/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;167,893;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N01312804;40;465621821;0;NORMAL;ORIGINAL;24/01/2019;25/02/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;136,693;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N01970338;40;465621821;0;NORMAL;ORIGINAL;26/02/2019;23/03/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;120,82;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N02635529;40;465621821;0;NORMAL;ORIGINAL;24/03/2019;25/04/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;170,938;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N03298457;40;465621821;0;NORMAL;ORIGINAL;26/04/2019;23/05/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;141,632;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N03962070;40;465621821;0;NORMAL;ORIGINAL;24/05/2019;24/06/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;162,505;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N04647510;40;465621821;0;NORMAL;ORIGINAL;25/06/2019;23/07/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;166,15;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N05310189;40;465621821;0;NORMAL;ORIGINAL;24/07/2019;25/08/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;176,103;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N05926253;40;465621821;0;NORMAL;ORIGINAL;26/08/2019;23/09/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;155,727;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
F7901N06628379;40;465621821;0;NORMAL;ORIGINAL;24/09/2019;22/10/2019;1;Real;-;Cálculo del saldo ATR por diferencia de lecturas;-;-;5IC;164,149;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;EXABEAT
