"CUPS";"Contrato ATR";"Fecha desde";"Fecha hasta";"Consumo total activa";"Fuente agregada";"Estado medida";"Potencia (kW)";"Código factura";"Tipo de factura";"Estado factura";"Número de serie del contador";"Fecha de envío a facturar";"Autofactura"
"ES0031405485638003CB0F";"000465621821";"30/12/2018";"23/01/2019";"167,893";"Real";"Facturado";"2,200";"F7901N00634455";"Factura de ciclo";"Normal";"800369525";"25/01/2019 19:15";"-"
"ES0031405485638003CB0F";"000465621821";"24/01/2019";"25/02/2019";"136,693";"Real";"Facturado";"2,200";"F7901N01312804";"Factura de ciclo";"Normal";"800369525";"26/02/2019 19:07";"-"
"ES0031405485638003CB0F";"000465621821";"26/02/2019";"23/03/2019";"120,820";"Real";"Facturado";"2,200";"F7901N01970338";"Factura de ciclo";"Normal";"800369525";"27/03/2019 11:49";"-"
"ES0031405485638003CB0F";"000465621821";"24/03/2019";"25/04/2019";"170,938";"Real";"Facturado";"2,200";"F7901N02635529";"Factura de ciclo";"Normal";"800369525";"26/04/2019 19:56";"-"
"ES0031405485638003CB0F";"000465621821";"26/04/2019";"23/05/2019";"141,632";"Real";"Facturado";"2,200";"F7901N03298457";"Factura de ciclo";"Normal";"800369525";"27/05/2019 19:59";"-"
"ES0031405485638003CB0F";"000465621821";"24/05/2019";"24/06/2019";"162,505";"Real";"Facturado";"2,200";"F7901N03962070";"Factura de ciclo";"Normal";"800369525";"27/06/2019 12:51";"-"
"ES0031405485638003CB0F";"000465621821";"25/06/2019";"23/07/2019";"166,150";"Real";"Facturado";"2,200";"F7901N04647510";"Factura de ciclo";"Normal";"800369525";"24/07/2019 20:55";"-"
"ES0031405485638003CB0F";"000465621821";"24/07/2019";"25/08/2019";"176,103";"Real";"Facturado";"2,200";"F7901N05310189";"Factura de ciclo";"Normal";"800369525";"27/08/2019 22:02";"-"
"ES0031405485638003CB0F";"000465621821";"26/08/2019";"23/09/2019";"155,727";"Real";"Facturado";"2,200";"F7901N05926253";"Factura de ciclo";"Normal";"800369525";"26/09/2019 12:27";"-"
"ES0031405485638003CB0F";"000465621821";"24/09/2019";"22/10/2019";"164,149";"Real";"Facturado";"2,200";"F7901N06628379";"Factura de ciclo";"Normal";"800369525";"24/10/2019 18:45";"-"
